ID,Ref_Code,Strata_Code,Latitude,Longitude,Year1,Year2,Year3,Type1,Type2,Type3
57,1,1,1.374826627,-57.56552563,N/A,N/A,N/A,N/A,N/A,N/A
58,3,4,-8.997211475,-51.65982129,2007,N/A,N/A,Deforestation,N/A,N/A
59,1,1,-11.05830606,-64.7534852,N/A,N/A,N/A,N/A,N/A,N/A
60,1,1,-8.255023388,-61.03149549,N/A,N/A,N/A,N/A,N/A,N/A
61,1,1,-6.251061652,-62.34393412,N/A,N/A,N/A,N/A,N/A,N/A
62,1,1,2.86728764,-65.53178557,N/A,N/A,N/A,N/A,N/A,N/A
63,1,1,-4.770458401,-62.25446191,N/A,N/A,N/A,N/A,N/A,N/A
64,1,1,1.746190165,-59.24690234,N/A,N/A,N/A,N/A,N/A,N/A
65,6,1,-9.916457506,-52.62515089,N/A,N/A,N/A,N/A,N/A,N/A
66,5,3,-1.022866698,-70.12747673,2004,2010,N/A,Deforestation,D/ND,N/A
67,1,1,-1.489361825,-58.22821281,N/A,N/A,N/A,N/A,N/A,N/A
68,2,4,-13.94459307,-64.23982852,N/A,N/A,N/A,N/A,N/A,N/A
69,1,1,-6.251331146,-69.93074568,N/A,N/A,N/A,N/A,N/A,N/A
70,3,4,-1.341678793,-47.42579186,2001,N/A,N/A,Deforestation,N/A,N/A
71,2,2,3.904572298,-70.57025633,N/A,N/A,N/A,N/A,N/A,N/A
72,1,1,-3.75715876,-78.51765165,N/A,N/A,N/A,N/A,N/A,N/A
73,1,1,-2.274130058,-74.85063883,N/A,N/A,N/A,N/A,N/A,N/A
74,1,1,-2.028081501,-75.75398468,N/A,N/A,N/A,N/A,N/A,N/A
75,1,1,4.290488544,-57.69865595,N/A,N/A,N/A,N/A,N/A,N/A
76,1,1,3.255898832,-55.08374999,N/A,N/A,N/A,N/A,N/A,N/A
77,1,1,3.98164775,-66.96980867,N/A,N/A,N/A,N/A,N/A,N/A
78,3,3,-12.25917394,-55.39582472,2014,N/A,N/A,Deforestation,N/A,N/A
79,1,1,-1.617910742,-57.7609092,N/A,N/A,N/A,N/A,N/A,N/A
80,1,1,-4.732190169,-74.72020345,N/A,N/A,N/A,N/A,N/A,N/A
81,4,1,0.309784026,-76.48081158,1997,2001,2002,D/ND,D/ND,D/ND
82,3,4,1.490709298,-74.29736645,2015,N/A,N/A,Deforestation,N/A,N/A
83,4,3,-9.307669238,-63.49063358,2010,2016,N/A,D/ND,D/ND,N/A
84,1,1,-6.940159306,-56.10567346,N/A,N/A,N/A,N/A,N/A,N/A
85,2,2,-7.721693603,-77.35828594,N/A,N/A,N/A,N/A,N/A,N/A
86,1,1,-12.03899686,-73.35009298,N/A,N/A,N/A,N/A,N/A,N/A
87,1,1,1.371592692,-55.73808284,N/A,N/A,N/A,N/A,N/A,N/A
88,1,1,-5.63796147,-65.47977311,N/A,N/A,N/A,N/A,N/A,N/A
89,3,4,-5.283306596,-50.25683247,2011,N/A,N/A,Deforestation,N/A,N/A
90,1,1,7.386172845,-58.66775848,N/A,N/A,N/A,N/A,N/A,N/A
91,1,1,-3.153221395,-57.72695288,N/A,N/A,N/A,N/A,N/A,N/A
92,1,1,3.619986016,-54.04080595,N/A,N/A,N/A,N/A,N/A,N/A
93,2,2,-6.258068511,-49.64211533,N/A,N/A,N/A,N/A,N/A,N/A
94,3,4,-3.420560023,-59.28570956,2007,N/A,N/A,Deforestation,N/A,N/A
95,5,5,-16.36600192,-63.71512257,1999,2003,N/A,D/ND,Deforestation,N/A
96,1,1,-4.355975728,-58.75211029,N/A,N/A,N/A,N/A,N/A,N/A
97,1,1,-8.88052032,-57.06022328,N/A,N/A,N/A,N/A,N/A,N/A
98,1,1,2.652500455,-63.65529477,N/A,N/A,N/A,N/A,N/A,N/A
99,1,1,4.22500136,-54.08500306,N/A,N/A,N/A,N/A,N/A,N/A
100,1,1,-4.17622284,-77.16451934,N/A,N/A,N/A,N/A,N/A,N/A
101,1,1,2.374651538,-51.32214457,N/A,N/A,N/A,N/A,N/A,N/A
102,1,1,-6.252409125,-72.13224695,N/A,N/A,N/A,N/A,N/A,N/A
103,1,1,-2.680258397,-67.56107979,N/A,N/A,N/A,N/A,N/A,N/A
104,1,1,3.197149012,-70.53010164,N/A,N/A,N/A,N/A,N/A,N/A
105,2,7,-15.13548964,-65.29705578,N/A,N/A,N/A,N/A,N/A,N/A
106,1,1,-0.528613629,-67.39022023,N/A,N/A,N/A,N/A,N/A,N/A
107,1,1,-1.285623919,-67.08407438,N/A,N/A,N/A,N/A,N/A,N/A
108,1,1,-6.868204252,-73.43228883,N/A,N/A,N/A,N/A,N/A,N/A
109,1,1,3.498713453,-53.33823356,N/A,N/A,N/A,N/A,N/A,N/A
110,2,2,5.819331326,-66.45480452,N/A,N/A,N/A,N/A,N/A,N/A
111,1,1,-0.622667239,-66.7445112,N/A,N/A,N/A,N/A,N/A,N/A
112,1,1,-5.89478981,-64.8033417,N/A,N/A,N/A,N/A,N/A,N/A
113,1,1,-1.114494857,-77.90913288,N/A,N/A,N/A,N/A,N/A,N/A
114,1,1,5.018932408,-53.9831341,N/A,N/A,N/A,N/A,N/A,N/A
115,2,2,0.507593051,-63.29498051,N/A,N/A,N/A,N/A,N/A,N/A
116,4,3,-6.662579884,-55.3570175,2007,N/A,N/A,D/ND,N/A,N/A
117,6,6,-14.00927177,-67.55299496,N/A,N/A,N/A,N/A,N/A,N/A
118,1,6,-13.03936076,-72.54915507,N/A,N/A,N/A,N/A,N/A,N/A
119,1,1,0.607036553,-55.31012544,N/A,N/A,N/A,N/A,N/A,N/A
120,1,1,-3.845013995,-57.37472346,N/A,N/A,N/A,N/A,N/A,N/A
121,1,1,5.987226453,-62.44903701,N/A,N/A,N/A,N/A,N/A,N/A
122,1,1,-7.146322664,-60.52026426,N/A,N/A,N/A,N/A,N/A,N/A
123,3,2,-9.23787014,-51.24048771,1995,N/A,N/A,Deforestation,N/A,N/A
124,4,1,-4.970692877,-56.21616624,2009,N/A,N/A,D/ND,N/A,N/A
125,1,1,-7.63976725,-56.38702581,N/A,N/A,N/A,N/A,N/A,N/A
126,1,1,-11.58813242,-52.7741814,N/A,N/A,N/A,N/A,N/A,N/A
127,4,4,-8.52020606,-50.86050035,2007,2017,N/A,D/ND,D/ND,N/A
128,1,1,-10.94377086,-75.54350941,N/A,N/A,N/A,N/A,N/A,N/A
129,2,2,-6.756363999,-51.26043031,N/A,N/A,N/A,N/A,N/A,N/A
130,1,1,2.501583487,-54.19926876,N/A,N/A,N/A,N/A,N/A,N/A
131,4,4,-9.022543966,-75.99464334,2015,N/A,N/A,D/ND,N/A,N/A
132,1,1,2.934661286,-52.48420522,N/A,N/A,N/A,N/A,N/A,N/A
133,2,4,-10.77722321,-73.38027637,N/A,N/A,N/A,N/A,N/A,N/A
134,1,1,-2.885343777,-65.45147618,N/A,N/A,N/A,N/A,N/A,N/A
135,1,7,-7.541132231,-51.8083128,N/A,N/A,N/A,N/A,N/A,N/A
136,1,1,4.763182047,-52.96336659,N/A,N/A,N/A,N/A,N/A,N/A
137,1,1,-10.11938693,-52.8388601,N/A,N/A,N/A,N/A,N/A,N/A
138,1,1,-4.967997932,-60.92827906,N/A,N/A,N/A,N/A,N/A,N/A
139,4,3,-12.54160426,-52.96633103,2008,2010,N/A,D/ND,D/ND,N/A
140,1,1,2.767035654,-67.69259315,N/A,N/A,N/A,N/A,N/A,N/A
141,4,1,6.669586743,-63.79624044,2001,N/A,N/A,D/ND,N/A,N/A
142,3,4,-9.600340357,-67.29724459,2002,N/A,N/A,Deforestation,N/A,N/A
143,1,1,-2.818778614,-70.561902,N/A,N/A,N/A,N/A,N/A,N/A
144,1,1,-12.22656509,-70.48832998,N/A,N/A,N/A,N/A,N/A,N/A
145,1,1,2.837104246,-56.10109205,N/A,N/A,N/A,N/A,N/A,N/A
146,1,1,-0.246452798,-68.9791603,N/A,N/A,N/A,N/A,N/A,N/A
147,4,6,-4.953984213,-47.2942785,2000,N/A,N/A,D/ND,N/A,N/A
148,1,1,-9.673103895,-53.22585432,N/A,N/A,N/A,N/A,N/A,N/A
149,4,3,-16.08680553,-67.74810903,2016,N/A,N/A,D/ND,N/A,N/A
150,1,1,-11.54716924,-64.96530795,N/A,N/A,N/A,N/A,N/A,N/A
151,1,1,-1.837818324,-50.94377417,N/A,N/A,N/A,N/A,N/A,N/A
152,1,1,-12.65829542,-56.78237436,N/A,N/A,N/A,N/A,N/A,N/A
153,3,4,-1.738913811,-47.3293128,2001,N/A,N/A,Deforestation,N/A,N/A
154,2,2,-12.98088043,-57.17502797,N/A,N/A,N/A,N/A,N/A,N/A
155,1,1,-1.433306952,-59.55789909,N/A,N/A,N/A,N/A,N/A,N/A
156,1,1,-6.947974649,-71.86706428,N/A,N/A,N/A,N/A,N/A,N/A
157,1,1,-8.291674651,-53.67941371,N/A,N/A,N/A,N/A,N/A,N/A
158,1,1,6.096641254,-60.48064855,N/A,N/A,N/A,N/A,N/A,N/A
159,1,1,-8.300837467,-71.52345868,N/A,N/A,N/A,N/A,N/A,N/A
160,2,2,-3.293089084,-63.67793231,N/A,N/A,N/A,N/A,N/A,N/A
161,1,1,-9.82267339,-52.57152147,N/A,N/A,N/A,N/A,N/A,N/A
162,1,1,-7.907105878,-73.38297132,N/A,N/A,N/A,N/A,N/A,N/A
163,1,1,-7.561074831,-59.98774296,N/A,N/A,N/A,N/A,N/A,N/A
164,2,6,-1.211782403,-48.16393753,N/A,N/A,N/A,N/A,N/A,N/A
165,1,1,-8.643365085,-58.21285162,N/A,N/A,N/A,N/A,N/A,N/A
166,1,1,-0.199291246,-51.48896172,N/A,N/A,N/A,N/A,N/A,N/A
167,4,3,-11.83849289,-54.12300179,2005,N/A,N/A,D/ND,N/A,N/A
168,1,1,6.970881689,-59.72040433,N/A,N/A,N/A,N/A,N/A,N/A
169,3,4,2.319135653,-73.6872307,2006,N/A,N/A,Deforestation,N/A,N/A
170,1,1,-0.697586734,-66.10985145,N/A,N/A,N/A,N/A,N/A,N/A
171,1,1,-6.853921039,-54.12354078,N/A,N/A,N/A,N/A,N/A,N/A
172,4,3,-2.088178794,-50.66080486,2010,N/A,N/A,D/ND,N/A,N/A
173,1,1,1.965289263,-66.82805452,N/A,N/A,N/A,N/A,N/A,N/A
174,3,5,-15.28802358,-63.63481318,2004,N/A,N/A,Deforestation,N/A,N/A
175,1,1,-0.123293773,-62.09519061,N/A,N/A,N/A,N/A,N/A,N/A
176,3,5,-11.70455408,-56.1137583,1997,N/A,N/A,Deforestation,N/A,N/A
177,1,1,-4.395591433,-75.37103287,N/A,N/A,N/A,N/A,N/A,N/A
178,1,1,-8.189536203,-68.34261409,N/A,N/A,N/A,N/A,N/A,N/A
179,5,4,-9.899479347,-51.30193248,1998,2002,N/A,D/ND,Deforestation,N/A
180,1,1,-3.658793236,-64.47240235,N/A,N/A,N/A,N/A,N/A,N/A
181,1,1,3.199843958,-52.65021389,N/A,N/A,N/A,N/A,N/A,N/A
182,4,3,-6.556668512,-76.07818666,2001,2010,N/A,D/ND,D/ND,N/A
183,1,1,1.079191067,-65.84116535,N/A,N/A,N/A,N/A,N/A,N/A
184,2,4,-10.84109343,-69.66179008,N/A,N/A,N/A,N/A,N/A,N/A
185,1,1,-2.503739444,-53.8788397,N/A,N/A,N/A,N/A,N/A,N/A
186,1,1,-9.740208047,-55.34596822,N/A,N/A,N/A,N/A,N/A,N/A
187,2,2,-7.88015642,-49.71541785,N/A,N/A,N/A,N/A,N/A,N/A
188,1,1,-1.496907674,-65.37655668,N/A,N/A,N/A,N/A,N/A,N/A
189,1,1,-7.310714361,-68.4318168,N/A,N/A,N/A,N/A,N/A,N/A
190,1,1,-10.36651346,-72.11041789,N/A,N/A,N/A,N/A,N/A,N/A
191,1,1,0.841766337,-69.58498413,N/A,N/A,N/A,N/A,N/A,N/A
192,2,7,-13.1520095,-68.18846319,N/A,N/A,N/A,N/A,N/A,N/A
193,1,1,1.788500815,-70.6314316,N/A,N/A,N/A,N/A,N/A,N/A
194,5,4,-9.74451996,-50.76941118,1995,1997,N/A,D/ND,Deforestation,N/A
195,1,1,-6.362093421,-66.48903033,N/A,N/A,N/A,N/A,N/A,N/A
196,1,1,-5.943837825,-74.83500814,N/A,N/A,N/A,N/A,N/A,N/A
197,3,3,0.232978069,-63.58953809,1997,N/A,N/A,Deforestation,N/A,N/A
198,4,4,-3.020630059,-75.79090544,1995,1998,N/A,D/ND,D/ND,N/A
199,1,1,-5.903952626,-66.16563683,N/A,N/A,N/A,N/A,N/A,N/A
200,1,1,-1.329012547,-55.50685649,N/A,N/A,N/A,N/A,N/A,N/A
201,1,1,1.57371363,-71.4579715,N/A,N/A,N/A,N/A,N/A,N/A
202,1,1,-4.430356234,-77.32918053,N/A,N/A,N/A,N/A,N/A,N/A
203,1,1,-8.67597393,-70.15415669,N/A,N/A,N/A,N/A,N/A,N/A
204,4,3,-8.739574652,-65.16500344,1997,N/A,N/A,D/ND,N/A,N/A
205,2,4,-6.122782229,-76.90122313,N/A,N/A,N/A,N/A,N/A,N/A
206,1,1,-6.136526453,-56.29108573,N/A,N/A,N/A,N/A,N/A,N/A
207,1,1,4.428739266,-62.80935127,N/A,N/A,N/A,N/A,N/A,N/A
208,1,1,4.770188906,-54.55607959,N/A,N/A,N/A,N/A,N/A,N/A
209,1,1,3.346988001,-53.91818591,N/A,N/A,N/A,N/A,N/A,N/A
210,1,1,-16.12588224,-66.20255759,N/A,N/A,N/A,N/A,N/A,N/A
211,1,1,-0.298465253,-71.06208395,N/A,N/A,N/A,N/A,N/A,N/A
212,1,1,2.000323559,-68.69888593,N/A,N/A,N/A,N/A,N/A,N/A
213,1,1,5.089001,-56.51934765,N/A,N/A,N/A,N/A,N/A,N/A
214,1,1,-7.16545678,-67.73193936,N/A,N/A,N/A,N/A,N/A,N/A
215,1,1,-7.526579524,-71.11301843,N/A,N/A,N/A,N/A,N/A,N/A
216,1,1,-7.184590895,-62.99799748,N/A,N/A,N/A,N/A,N/A,N/A
217,4,4,-7.863447755,-61.57641354,2010,2015,N/A,D/ND,D/ND,N/A
218,1,1,6.040586381,-59.21132906,N/A,N/A,N/A,N/A,N/A,N/A
219,1,1,-10.45598567,-74.16154117,N/A,N/A,N/A,N/A,N/A,N/A
220,1,1,-0.978669586,-69.82160037,N/A,N/A,N/A,N/A,N/A,N/A
221,1,1,-4.066269049,-57.27447147,N/A,N/A,N/A,N/A,N/A,N/A
222,4,4,-2.622586556,-54.53344205,2004,2009,2015,D/ND,D/ND,D/ND
223,1,1,-5.905839088,-75.50631915,N/A,N/A,N/A,N/A,N/A,N/A
224,2,7,-11.31998531,-61.83566733,N/A,N/A,N/A,N/A,N/A,N/A
225,1,1,-7.182434938,-65.17227979,N/A,N/A,N/A,N/A,N/A,N/A
226,1,1,3.073720492,-58.43222021,N/A,N/A,N/A,N/A,N/A,N/A
227,1,1,-1.100481139,-51.8031924,N/A,N/A,N/A,N/A,N/A,N/A
228,1,1,3.985420674,-65.19545632,N/A,N/A,N/A,N/A,N/A,N/A
229,1,1,2.115128252,-55.15031515,N/A,N/A,N/A,N/A,N/A,N/A
230,3,4,1.886057855,-74.4189085,1999,N/A,N/A,Deforestation,N/A,N/A
231,1,1,1.119615254,-62.94517654,N/A,N/A,N/A,N/A,N/A,N/A
232,1,1,3.062401719,-64.29884784,N/A,N/A,N/A,N/A,N/A,N/A
233,1,1,-7.072750642,-64.96908087,N/A,N/A,N/A,N/A,N/A,N/A
234,2,2,-9.954995231,-53.35952363,N/A,N/A,N/A,N/A,N/A,N/A
235,1,1,-1.268376265,-62.40214495,N/A,N/A,N/A,N/A,N/A,N/A
236,4,3,-11.22727917,-56.99581407,1999,N/A,N/A,D/ND,N/A,N/A
237,1,1,-12.0123169,-68.31270019,N/A,N/A,N/A,N/A,N/A,N/A
238,1,1,3.61432663,-68.56144369,N/A,N/A,N/A,N/A,N/A,N/A
239,4,4,-4.277013815,-47.02128048,2005,2007,2015,D/ND,D/ND,D/ND
240,4,3,-11.24210137,-52.6294628,2016,N/A,N/A,D/ND,N/A,N/A
241,1,1,4.982820134,-59.75247419,N/A,N/A,N/A,N/A,N/A,N/A
242,4,3,-11.40811003,-53.80850161,2011,N/A,N/A,D/ND,N/A,N/A
243,1,1,2.094646664,-66.21737979,N/A,N/A,N/A,N/A,N/A,N/A
244,1,1,-4.270006956,-73.43498377,N/A,N/A,N/A,N/A,N/A,N/A
245,1,1,-2.542007675,-75.34785634,N/A,N/A,N/A,N/A,N/A,N/A
246,1,1,0.938245398,-69.69385994,N/A,N/A,N/A,N/A,N/A,N/A
247,1,1,6.003665623,-62.25796534,N/A,N/A,N/A,N/A,N/A,N/A
248,1,1,-4.661852083,-60.2297491,N/A,N/A,N/A,N/A,N/A,N/A
249,1,3,-8.654414363,-64.06465704,2011,N/A,N/A,N/A,N/A,N/A
250,2,4,-4.971770856,-48.79940576,N/A,N/A,N/A,N/A,N/A,N/A
251,1,1,-5.692399377,-64.88769351,N/A,N/A,N/A,N/A,N/A,N/A
252,2,2,5.403770676,-56.23853429,N/A,N/A,N/A,N/A,N/A,N/A
253,1,1,7.451390534,-65.40781806,N/A,N/A,N/A,N/A,N/A,N/A
254,3,4,-10.0560557,-56.65166949,2004,N/A,N/A,Deforestation,N/A,N/A
255,1,1,-1.765054786,-77.73773432,N/A,N/A,N/A,N/A,N/A,N/A
256,1,1,2.173608577,-54.62776515,N/A,N/A,N/A,N/A,N/A,N/A
257,4,3,-13.87398549,-64.80441968,2016,N/A,N/A,D/ND,N/A,N/A
258,3,4,-6.220608764,-76.54980219,2013,N/A,N/A,Deforestation,N/A,N/A
259,4,3,-6.871977176,-56.60396895,2013,N/A,N/A,D/ND,N/A,N/A
260,2,1,-1.492326266,-54.53937093,N/A,N/A,N/A,N/A,N/A,N/A
261,1,1,-5.799927716,-53.73115667,N/A,N/A,N/A,N/A,N/A,N/A
262,1,1,3.87061598,-65.44177437,N/A,N/A,N/A,N/A,N/A,N/A
263,4,3,-9.606269238,-65.01031354,2014,N/A,N/A,D/ND,N/A,N/A
264,3,4,-10.99766978,-55.22685162,2015,N/A,N/A,Deforestation,N/A,N/A
265,1,1,-12.73456238,-66.65315254,N/A,N/A,N/A,N/A,N/A,N/A
266,1,3,-7.606619416,-51.75144944,N/A,N/A,N/A,N/A,N/A,N/A
267,5,5,-10.07357285,-64.90494116,2001,2005,N/A,D/ND,Deforestation,N/A
268,1,3,-3.451282406,-59.69372437,N/A,N/A,N/A,N/A,N/A,N/A
269,3,4,-10.65622014,-54.8244962,2003,N/A,N/A,Deforestation,N/A,N/A
270,1,1,2.560602802,-68.16474766,N/A,N/A,N/A,N/A,N/A,N/A
271,3,7,-4.568876451,-50.38106948,1995,N/A,N/A,Deforestation,N/A,N/A
272,1,1,-4.251950819,-75.85908757,N/A,N/A,N/A,N/A,N/A,N/A
273,1,7,-8.933341259,-74.75415977,N/A,N/A,N/A,N/A,N/A,N/A
274,1,1,1.129047565,-65.66329892,N/A,N/A,N/A,N/A,N/A,N/A
275,1,1,-9.732662199,-58.70009783,N/A,N/A,N/A,N/A,N/A,N/A
276,1,1,-12.97333459,-66.83479189,N/A,N/A,N/A,N/A,N/A,N/A
277,1,1,5.211351542,-57.81669458,N/A,N/A,N/A,N/A,N/A,N/A
278,1,1,-2.18789179,-66.19420326,N/A,N/A,N/A,N/A,N/A,N/A
279,1,1,-2.317249191,-68.27820488,N/A,N/A,N/A,N/A,N/A,N/A
280,1,1,-12.43407592,-67.86399171,N/A,N/A,N/A,N/A,N/A,N/A
281,1,1,-0.669559297,-70.05525218,N/A,N/A,N/A,N/A,N/A,N/A
282,1,1,-0.178270668,-75.13738107,N/A,N/A,N/A,N/A,N/A,N/A
283,1,1,-14.6997169,-66.95741192,N/A,N/A,N/A,N/A,N/A,N/A
284,2,4,-9.029281331,-74.8271928,N/A,N/A,N/A,N/A,N/A,N/A
285,6,6,-5.361460026,-48.98454854,N/A,N/A,N/A,N/A,N/A,N/A
286,1,1,-9.917804979,-61.28023899,N/A,N/A,N/A,N/A,N/A,N/A
287,1,1,-4.882029159,-73.62201301,N/A,N/A,N/A,N/A,N/A,N/A
288,3,4,-8.199776998,-50.28135648,2005,N/A,N/A,Deforestation,N/A,N/A
289,4,3,-10.3449539,-53.95402869,2010,N/A,N/A,D/ND,N/A,N/A
290,4,1,-3.260480239,-61.19184477,2016,N/A,N/A,D/ND,N/A,N/A
291,2,2,-12.1912613,-74.71966446,N/A,N/A,N/A,N/A,N/A,N/A
292,1,1,-4.732998653,-74.60189533,N/A,N/A,N/A,N/A,N/A,N/A
293,1,1,-4.781238184,-55.16244241,N/A,N/A,N/A,N/A,N/A,N/A
294,1,1,-4.71871544,-66.19743719,N/A,N/A,N/A,N/A,N/A,N/A
295,1,1,-6.036543962,-74.07665038,N/A,N/A,N/A,N/A,N/A,N/A
296,1,1,-6.409254973,-50.4150258,N/A,N/A,N/A,N/A,N/A,N/A
297,1,1,3.852829338,-57.28498176,N/A,N/A,N/A,N/A,N/A,N/A
298,3,3,-15.88764903,-67.41447474,2006,N/A,N/A,Deforestation,N/A,N/A
299,1,1,2.427202982,-65.71369441,N/A,N/A,N/A,N/A,N/A,N/A
300,1,1,-2.899088001,-62.1757695,N/A,N/A,N/A,N/A,N/A,N/A
301,1,7,-1.907617422,-56.44604512,N/A,N/A,N/A,N/A,N/A,N/A
302,4,3,-11.79618224,-55.57180468,N/A,N/A,N/A,D/ND,N/A,N/A
303,4,3,-6.835595407,-74.97002493,N/A,N/A,N/A,D/ND,N/A,N/A
304,1,1,-4.998181325,-68.97862131,N/A,N/A,N/A,N/A,N/A,N/A
305,1,1,-0.624823196,-75.76638143,N/A,N/A,N/A,N/A,N/A,N/A
306,3,4,-10.21424902,-63.65718123,2003,N/A,N/A,Deforestation,N/A,N/A
307,1,1,-3.949308399,-68.3816908,N/A,N/A,N/A,N/A,N/A,N/A
308,3,4,0.159406047,-60.63991985,1998,N/A,N/A,Deforestation,N/A,N/A
309,1,1,0.188511462,-67.04284171,N/A,N/A,N/A,N/A,N/A,N/A
310,1,1,-11.3251057,-59.91174549,N/A,N/A,N/A,N/A,N/A,N/A
311,1,1,-10.88340408,-60.57820559,N/A,N/A,N/A,N/A,N/A,N/A
312,1,1,5.979141615,-60.61836029,N/A,N/A,N/A,N/A,N/A,N/A
313,2,2,5.205692156,-61.06787726,N/A,N/A,N/A,N/A,N/A,N/A
314,1,1,-13.70743784,-70.05983359,N/A,N/A,N/A,N/A,N/A,N/A
315,1,1,2.743589625,-68.49380055,N/A,N/A,N/A,N/A,N/A,N/A
316,3,4,-17.1135799,-64.26273556,1998,N/A,N/A,Deforestation,N/A,N/A
317,3,4,-2.943015618,-52.69521948,2004,N/A,N/A,Deforestation,N/A,N/A
318,1,1,-9.524612379,-68.69942492,N/A,N/A,N/A,N/A,N/A,N/A
